Relatório TARJAN | N=10000
eulerian_10000_1.txt - 7203 ms
eulerian_10000_2.txt - 6923 ms
eulerian_10000_3.txt - 5577 ms
eulerian_10000_4.txt - 6829 ms
non_eulerian_10000_1.txt - 11 ms
non_eulerian_10000_2.txt - 10 ms
non_eulerian_10000_3.txt - 12 ms
non_eulerian_10000_4.txt - 11 ms
semi_eulerian_10000_1.txt - 4109 ms
semi_eulerian_10000_2.txt - 4901 ms
semi_eulerian_10000_3.txt - 4749 ms
semi_eulerian_10000_4.txt - 6746 ms
Média total: 3923.42 ms
