Relatório TARJAN | N=10000
eulerian_10000_1.txt - 31967 ms
eulerian_10000_2.txt - 29241 ms
eulerian_10000_3.txt - 29904 ms
eulerian_10000_4.txt - 28610 ms
non_eulerian_10000_1.txt - 22 ms
non_eulerian_10000_2.txt - 20 ms
non_eulerian_10000_3.txt - 20 ms
non_eulerian_10000_4.txt - 21 ms
semi_eulerian_10000_1.txt - 29666 ms
semi_eulerian_10000_2.txt - 31089 ms
semi_eulerian_10000_3.txt - 28537 ms
semi_eulerian_10000_4.txt - 28635 ms
Média total: 19811.00 ms
