Relatório NAIVE | N=1000
eulerian_1000_1.txt - 232 ms
eulerian_1000_2.txt - 157 ms
eulerian_1000_3.txt - 171 ms
eulerian_1000_4.txt - 147 ms
non_eulerian_1000_1.txt - 2 ms
non_eulerian_1000_2.txt - 2 ms
non_eulerian_1000_3.txt - 1 ms
non_eulerian_1000_4.txt - 1 ms
semi_eulerian_1000_1.txt - 142 ms
semi_eulerian_1000_2.txt - 148 ms
semi_eulerian_1000_3.txt - 148 ms
semi_eulerian_1000_4.txt - 146 ms
Média total: 108.08 ms
