Relatório NAIVE | N=100
eulerian_100_1.txt - 33 ms
eulerian_100_2.txt - 18 ms
eulerian_100_3.txt - 16 ms
eulerian_100_4.txt - 14 ms
non_eulerian_100_1.txt - 1 ms
non_eulerian_100_2.txt - 1 ms
non_eulerian_100_3.txt - 0 ms
non_eulerian_100_4.txt - 0 ms
semi_eulerian_100_1.txt - 12 ms
semi_eulerian_100_2.txt - 11 ms
semi_eulerian_100_3.txt - 10 ms
semi_eulerian_100_4.txt - 10 ms
Média total: 10.50 ms
