Relatório TARJAN | N=1000
eulerian_1000_1.txt - 205 ms
eulerian_1000_2.txt - 140 ms
eulerian_1000_3.txt - 112 ms
eulerian_1000_4.txt - 111 ms
non_eulerian_1000_1.txt - 2 ms
non_eulerian_1000_2.txt - 1 ms
non_eulerian_1000_3.txt - 1 ms
non_eulerian_1000_4.txt - 2 ms
semi_eulerian_1000_1.txt - 139 ms
semi_eulerian_1000_2.txt - 87 ms
semi_eulerian_1000_3.txt - 52 ms
semi_eulerian_1000_4.txt - 111 ms
Média total: 80.25 ms
